 본부명 , 지사명 , 노선명 , 구간 , 방 향 , 5km , 발생건수 ,위도,경도
 광주전남 , 함평 , 무안광주선 ,30~35, 광주 ,30, 4 ,35.0984857,126.6874541
 광주전남 , 함평 , 무안광주선 ,30~35, 무안 ,30, 7 ,35.0984857,126.6874541
 광주전남 , 함평 , 무안광주선 ,35~40, 무안 ,35, 3 ,35.1199527,126.7343378
 광주전남 , 함평 , 서해안선 ,5~10, 목포 ,5, 3 ,34.8496291,126.4719396
 광주전남 , 함평 , 서해안선 ,30~35, 목포 ,30, 4 ,35.0649544,126.4796394
 광주전남 , 함평 , 서해안선 ,35~40, 목포 ,35, 3 ,35.1099659,126.4812870
 광주전남 , 함평 , 서해안선 ,20~25, 서울 ,20, 4 ,34.9761177,126.4957519
 광주전남 , 함평 , 서해안선 ,25~30, 서울 ,25, 4 ,35.0207604,126.4892992
 광주전남 , 함평 , 서해안선 ,35~40, 서울 ,35, 5 ,35.1099659,126.4812870
 광주전남 , 함평 , 서해안선 ,55~60, 서울 ,55, 3 ,35.2732961,126.5436837
 대구경북 , 영주 , 중앙선 ,180~185, 부산 ,180, 5 ,36.4786835,128.6178162
 대구경북 , 영주 , 중앙선 ,225~230, 춘천 ,225, 3 ,36.8098916,128.5437800
 대구경북 , 청송 , 당진영덕선 ,115~120, 영덕 ,115, 3 ,36.4335624,128.6084357
 부산경남 , 고성 , 중부선 ,15~20, 통영 ,15, 3 ,34.9752193,128.3813689
 부산경남 , 창원 , 남해제1지선 ,15~20, 산인 ,15, 4 ,35.2610778,128.6091613
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
