국가별,시점,적색지수
카자흐스탄,2005,0.88
카자흐스탄,2006,0.87
카자흐스탄,2007,0.87
카자흐스탄,2008,0.87
카자흐스탄,2009,0.87
카자흐스탄,2010,0.87
카자흐스탄,2011,0.87
카자흐스탄,2012,0.87
카자흐스탄,2013,0.87
카자흐스탄,2014,0.87
카자흐스탄,2015,0.87
카자흐스탄,2016,0.87
카자흐스탄,2017,0.87
카자흐스탄,2018,0.87
카자흐스탄,2019,0.87
카자흐스탄,2020,0.87
카자흐스탄,2021,0.87
카자흐스탄,2022,0.87
북한,2000,0.94
북한,2001,0.94
북한,2002,0.93
북한,2003,0.93
북한,2004,0.93
북한,2005,0.93
북한,2006,0.93
북한,2007,0.93
북한,2008,0.93
북한,2009,0.93
북한,2010,0.93
북한,2011,0.93
북한,2012,0.93
북한,2013,0.93
북한,2014,0.93
북한,2015,0.93
북한,2016,0.93
북한,2017,0.92
북한,2018,0.92
북한,2019,0.92
북한,2020,0.92
북한,2021,0.92
북한,2022,0.92
쿠웨이트,2000,0.91
쿠웨이트,2001,0.91
쿠웨이트,2002,0.9
쿠웨이트,2003,0.9
쿠웨이트,2004,0.89
쿠웨이트,2005,0.89
쿠웨이트,2006,0.88
쿠웨이트,2007,0.88
쿠웨이트,2008,0.88
쿠웨이트,2009,0.87
쿠웨이트,2010,0.87
쿠웨이트,2011,0.87
쿠웨이트,2012,0.86
쿠웨이트,2013,0.86
쿠웨이트,2014,0.86
쿠웨이트,2015,0.85
쿠웨이트,2016,0.85
쿠웨이트,2017,0.85
쿠웨이트,2018,0.84
쿠웨이트,2019,0.84
쿠웨이트,2020,0.84
쿠웨이트,2021,0.84
쿠웨이트,2022,0.83
키르기스스탄,2000,0.99
키르기스스탄,2001,0.99
키르기스스탄,2002,0.99
키르기스스탄,2003,0.99
키르기스스탄,2004,0.99
키르기스스탄,2005,0.99
키르기스스탄,2006,0.99
키르기스스탄,2007,0.99
키르기스스탄,2008,0.99
키르기스스탄,2009,0.99
키르기스스탄,2010,0.99
키르기스스탄,2011,0.99
키르기스스탄,2012,0.98
키르기스스탄,2013,0.98
키르기스스탄,2014,0.98
키르기스스탄,2015,0.98
키르기스스탄,2016,0.98
키르기스스탄,2017,0.98
키르기스스탄,2018,0.98
키르기스스탄,2019,0.98
키르기스스탄,2020,0.98
키르기스스탄,2021,0.98
키르기스스탄,2022,0.98
레바논,2000,0.93
레바논,2001,0.93
레바논,2002,0.93
레바논,2003,0.93
레바논,2004,0.93
레바논,2005,0.93
레바논,2006,0.93
레바논,2007,0.93
레바논,2008,0.93
레바논,2009,0.93
레바논,2010,0.93
레바논,2011,0.93
레바논,2012,0.93
레바논,2013,0.93
레바논,2014,0.93
레바논,2015,0.93
레바논,2016,0.93
레바논,2017,0.93
레바논,2018,0.93
레바논,2019,0.93
레바논,2020,0.93
레바논,2021,0.93
레바논,2022,0.93
말레이시아,2000,0.79
말레이시아,2001,0.78
말레이시아,2002,0.78
말레이시아,2003,0.77
말레이시아,2004,0.77
말레이시아,2005,0.77
말레이시아,2006,0.76
말레이시아,2007,0.76
말레이시아,2008,0.76
말레이시아,2009,0.75
말레이시아,2010,0.75
말레이시아,2011,0.74
말레이시아,2012,0.74
말레이시아,2013,0.74
말레이시아,2014,0.73
말레이시아,2015,0.73
말레이시아,2016,0.72
말레이시아,2017,0.72
말레이시아,2018,0.72
말레이시아,2019,0.71
말레이시아,2020,0.71
말레이시아,2021,0.7
말레이시아,2022,0.7
몽골,2000,0.96
몽골,2001,0.96
몽골,2002,0.96
몽골,2003,0.96
몽골,2004,0.96
몽골,2005,0.96
몽골,2006,0.96
몽골,2007,0.96
몽골,2008,0.96
몽골,2009,0.96
몽골,2010,0.96
몽골,2011,0.96
몽골,2012,0.96
몽골,2013,0.96
몽골,2014,0.96
몽골,2015,0.96
몽골,2016,0.96
몽골,2017,0.96
몽골,2018,0.96
몽골,2019,0.96
몽골,2020,0.96
몽골,2021,0.96
몽골,2022,0.96
오만,2000,0.94
오만,2001,0.93
오만,2002,0.93
오만,2003,0.93
오만,2004,0.93
오만,2005,0.92
오만,2006,0.92
오만,2007,0.92
오만,2008,0.92
오만,2009,0.91
오만,2010,0.91
오만,2011,0.91
오만,2012,0.91
오만,2013,0.9
오만,2014,0.9
오만,2015,0.9
오만,2016,0.9
오만,2017,0.9
오만,2018,0.89
오만,2019,0.89
오만,2020,0.89
오만,2021,0.88
오만,2022,0.88
파키스탄,2000,0.94
파키스탄,2001,0.93
파키스탄,2002,0.93
파키스탄,2003,0.92
파키스탄,2004,0.92
파키스탄,2005,0.92
파키스탄,2006,0.91
파키스탄,2007,0.91
파키스탄,2008,0.91
파키스탄,2009,0.9
파키스탄,2010,0.9
파키스탄,2011,0.89
파키스탄,2012,0.89
파키스탄,2013,0.88
파키스탄,2014,0.88
파키스탄,2015,0.88
파키스탄,2016,0.87
파키스탄,2017,0.87
파키스탄,2018,0.86
파키스탄,2019,0.86
