,본부명,지사명,노선명,구간,방.향,X5km,발생건수,위도.x,경도,X,번호,생태통로명,주소,도로명,도로번호,차선_수,위도.y,위도
51, 대전충남 , 공주 , 당진대전선 ,90~95, 대전 ,90,4,36.393598,127.3203725,NA,NA,NA,NA,NA,NA,NA,NA,36.393598
52, 대전충남 , 당진 , 당진대전선 ,10~15, 대전 ,10,5,36.7825784,126.6897475,NA,NA,NA,NA,NA,NA,NA,NA,36.7825784
53, 대전충남 , 당진 , 서해안선 ,240~245, 목포 ,240,3,36.7323702,126.5639501,NA,NA,NA,NA,NA,NA,NA,NA,36.7323702
54, 대전충남 , 당진 , 서해안선 ,245~250, 목포 ,245,3,36.7762619,126.5662366,NA,NA,NA,NA,NA,NA,NA,NA,36.7762619
55, 대전충남 , 당진 , 서해안선 ,270~275, 목포 ,270,6,36.919073,126.7591522,NA,NA,NA,NA,NA,NA,NA,NA,36.919073
56, 대전충남 , 당진 , 서해안선 ,235~240, 서울 ,235,6,36.688381,126.5547572,NA,NA,NA,NA,NA,NA,NA,NA,36.688381
57, 대전충남 , 당진 , 서해안선 ,245~250, 서울 ,245,6,36.7762619,126.5662366,NA,NA,NA,NA,NA,NA,NA,NA,36.7762619
58, 대전충남 , 대전 , 경부선 ,275~280, 부산 ,275,3,36.379549,127.4275565,NA,NA,NA,NA,NA,NA,NA,NA,36.379549
59, 대전충남 , 대전 , 경부선 ,285~290, 부산 ,285,5,36.4657563,127.4183421,NA,NA,NA,NA,NA,NA,NA,NA,36.4657563
60, 대전충남 , 대전 , 경부선 ,270~275, 서울 ,270,3,36.3496295,127.4663024,NA,NA,NA,NA,NA,NA,NA,NA,36.3496295
61, 대전충남 , 대전 , 호남지선 ,35~40, 회덕 ,35,3,36.2991,127.31392,NA,NA,NA,NA,NA,NA,NA,NA,36.2991
62, 대전충남 , 영동 , 경부선 ,255~260, 부산 ,255,3,36.2948484,127.6029307,NA,NA,NA,NA,NA,NA,NA,NA,36.2948484
63, 대전충남 , 영동 , 경부선 ,260~265, 부산 ,260,3,36.3177499,127.5564176,NA,NA,NA,NA,NA,NA,NA,NA,36.3177499
64, 대전충남 , 영동 , 경부선 ,225~230, 서울 ,225,4,36.2197596,127.8809713,NA,NA,NA,NA,NA,NA,NA,NA,36.2197596
65, 대전충남 , 영동 , 대전남부순환선 ,0~5, 산내 ,0,3,36.2940785,127.3160565,NA,NA,NA,NA,NA,NA,NA,NA,36.2940785
66, 대전충남 , 영동 , 대전남부순환선 ,5~10, 서대전 ,5,4,36.2856573,127.3700006,NA,NA,NA,NA,NA,NA,NA,NA,36.2856573
67, 대전충남 , 천안 , 경부선 ,305~310, 부산 ,305,6,36.6253599,127.3836864,NA,NA,NA,NA,NA,NA,NA,NA,36.6253599
68, 대전충남 , 천안 , 경부선 ,310~315, 부산 ,310,4,36.668489,127.3727573,NA,NA,NA,NA,NA,NA,NA,NA,36.668489
69, 대전충남 , 천안 , 경부선 ,315~320, 부산 ,315,3,36.7044544,127.3472224,NA,NA,NA,NA,NA,NA,NA,NA,36.7044544
70, 대전충남 , 천안 , 경부선 ,320~325, 부산 ,320,4,36.7264483,127.3085103,NA,NA,NA,NA,NA,NA,NA,NA,36.7264483
71, 대전충남 , 천안 , 경부선 ,325~330, 부산 ,325,5,36.7345899,127.2563955,NA,NA,NA,NA,NA,NA,NA,NA,36.7345899
