"지역","발생횟수","날짜","year","month","비품종견","품종견"
"부산",336,"2016-08-01",2016,8,188,148
"대구",225,"2016-08-01",2016,8,107,118
"인천",331,"2016-08-01",2016,8,109,222
"광주",149,"2016-08-01",2016,8,68,81
"대전",229,"2016-08-01",2016,8,70,159
"울산",180,"2016-08-01",2016,8,92,88
"세종",24,"2016-08-01",2016,8,18,6
"경기",1479,"2016-08-01",2016,8,673,806
"강원",422,"2016-08-01",2016,8,243,179
"충북",285,"2016-08-01",2016,8,150,135
"충남",296,"2016-08-01",2016,8,183,113
"전북",330,"2016-08-01",2016,8,176,154
"전남",285,"2016-08-01",2016,8,177,108
"경북",315,"2016-08-01",2016,8,201,114
"경남",601,"2016-08-01",2016,8,418,183
"제주",244,"2016-08-01",2016,8,198,46
"서울",581,"2016-09-01",2016,9,163,418
"부산",357,"2016-09-01",2016,9,204,153
"대구",223,"2016-09-01",2016,9,105,118
"인천",305,"2016-09-01",2016,9,115,190
"광주",156,"2016-09-01",2016,9,62,94
"대전",215,"2016-09-01",2016,9,79,136
"울산",153,"2016-09-01",2016,9,74,79
"세종",24,"2016-09-01",2016,9,10,14
"경기",1422,"2016-09-01",2016,9,675,747
"강원",291,"2016-09-01",2016,9,154,137
"충북",236,"2016-09-01",2016,9,121,115
"충남",298,"2016-09-01",2016,9,174,124
"전북",272,"2016-09-01",2016,9,151,121
"전남",261,"2016-09-01",2016,9,159,102
"경북",319,"2016-09-01",2016,9,212,107
"경남",613,"2016-09-01",2016,9,428,185
"제주",215,"2016-09-01",2016,9,171,44
"서울",517,"2016-10-01",2016,10,181,336
"부산",317,"2016-10-01",2016,10,160,157
"대구",216,"2016-10-01",2016,10,115,101
"인천",283,"2016-10-01",2016,10,108,175
"광주",161,"2016-10-01",2016,10,65,96
"대전",221,"2016-10-01",2016,10,74,147
"울산",157,"2016-10-01",2016,10,86,71
"세종",24,"2016-10-01",2016,10,9,15
"경기",1311,"2016-10-01",2016,10,595,716
"강원",321,"2016-10-01",2016,10,200,121
"충북",239,"2016-10-01",2016,10,116,123
"충남",339,"2016-10-01",2016,10,220,119
"전북",325,"2016-10-01",2016,10,183,142
"전남",218,"2016-10-01",2016,10,124,94
"경북",310,"2016-10-01",2016,10,217,93
"경남",544,"2016-10-01",2016,10,378,166
"제주",200,"2016-10-01",2016,10,162,38
"서울",457,"2016-11-01",2016,11,179,278
"부산",309,"2016-11-01",2016,11,159,150
"대구",159,"2016-11-01",2016,11,79,80
"인천",266,"2016-11-01",2016,11,111,155
"광주",123,"2016-11-01",2016,11,48,75
"대전",211,"2016-11-01",2016,11,79,132
"울산",142,"2016-11-01",2016,11,81,61
"세종",17,"2016-11-01",2016,11,6,11
"경기",1146,"2016-11-01",2016,11,580,566
"강원",302,"2016-11-01",2016,11,185,117
"충북",233,"2016-11-01",2016,11,102,131
"충남",236,"2016-11-01",2016,11,148,88
