Team,Outcome,Task_Completed,All_Tasks_Completed,Murdered,Imposter_Kills,Game_Length,Ejected,Sabotages_Fixed,Time_to_complete_all_tasks
Crewmate,Loss,2,No,No,,632,No,2.0,
Crewmate,Win,1,No,Yes,,238,No,0.0,
Imposter,Win,,,,2,526,No,,
Crewmate,Loss,3,No,No,,247,Yes,0.0,
Crewmate,Loss,5,No,No,,331,No,1.0,
Imposter,Win,,,,2,480,No,,
Crewmate,Win,2,No,No,,426,No,0.0,
Crewmate,Loss,5,No,Yes,,300,No,1.0,
Imposter,Win,,,,2,468,No,,
Crewmate,Win,4,No,Yes,,211,No,0.0,
Crewmate,Loss,5,No,Yes,,327,No,1.0,
Imposter,Win,,,,3,709,No,,
Crewmate,Win,7,Yes,No,,830,No,1.0,07m 59s
Crewmate,Win,7,Yes,Yes,,795,No,2.0,11m 18s
Crewmate,Win,6,No,No,,384,No,0.0,
Crewmate,Win,5,No,Yes,,469,No,1.0,
Crewmate,Loss,8,Yes,Yes,,743,No,3.0,07m 25s
Imposter,Win,,,,2,563,No,,
Crewmate,Win,8,Yes,No,,1073,No,1.0,09m 24s
Imposter,Loss,,,,1,865,No,,
Crewmate,Loss,8,Yes,Yes,,649,No,0.0,05m 58s
Crewmate,Win,7,No,No,,873,No,0.0,
Crewmate,Loss,8,Yes,No,,712,No,0.0,08m 46s
Crewmate,Win,8,Yes,No,,1137,No,0.0,08m 17s
Imposter,Win,,,,1,504,No,,
Crewmate,Loss,6,No,Yes,,687,No,0.0,
Crewmate,Win,8,Yes,No,,723,No,0.0,03m 27s
Imposter,Loss,,,,2,753,Yes,,
Crewmate,Loss,2,No,No,,630,No,0.0,
Crewmate,Loss,7,No,Yes,,495,No,0.0,
Imposter,Loss,,,,4,881,No,,
Imposter,Loss,,,,1,824,No,,
Imposter,Win,,,,4,615,No,,
Crewmate,Win,7,No,No,,1013,No,0.0,
Crewmate,Loss,6,No,No,,461,No,0.0,
Crewmate,Win,8,Yes,Yes,,1173,No,2.0,15m 37s
Imposter,Loss,,,,1,976,No,,
Crewmate,Win,8,Yes,No,,795,No,0.0,09m 51s
Imposter,Loss,,,,4,967,No,,
Imposter,Loss,,,,3,1017,No,,
Crewmate,Win,4,No,No,,326,No,0.0,
Crewmate,Win,5,No,Yes,,1004,No,0.0,
Crewmate,Loss,7,Yes,Yes,,1171,No,0.0,07m 32s
Crewmate,Loss,3,No,Yes,,221,No,0.0,
Crewmate,Win,7,Yes,Yes,,1151,No,0.0,07m 15s
Crewmate,Win,0,No,No,,39,No,0.0,
Crewmate,Win,7,Yes,Yes,,849,No,0.0,08m 07s
Imposter,Win,,,,1,641,Yes,,
Crewmate,Win,7,Yes,Yes,,938,No,0.0,13m 28s
Crewmate,Loss,6,No,Yes,,650,No,0.0,
Crewmate,Loss,5,No,No,,563,Yes,0.0,
Imposter,Win,,,,2,273,No,,
Crewmate,Loss,7,Yes,No,,689,No,0.0,10m 46s
Crewmate,Win,7,Yes,Yes,,884,No,0.0,08m 31s
Imposter,Win,,,,1,157,No,,
Crewmate,Loss,4,No,No,,615,No,1.0,
Crewmate,Loss,7,Yes,No,,1178,Yes,0.0,10m 18s
Crewmate,Loss,7,Yes,Yes,,757,No,0.0,05m 46s
Crewmate,Loss,7,Yes,Yes,,574,No,0.0,05m 57s
Crewmate,Win,8,Yes,No,,1106,No,0.0,14m 40s
Crewmate,Loss,8,Yes,Yes,,1022,No,0.0,09m 08s
Crewmate,Win,7,No,Yes,,382,No,0.0,
Crewmate,Loss,5,No,Yes,,340,No,1.0,
Crewmate,Win,7,Yes,Yes,,632,No,0.0,05m 20s
Crewmate,Win,7,Yes,No,,1012,No,0.0,07m 04s
Crewmate,Win,6,No,Yes,,649,No,0.0,
Crewmate,Loss,7,Yes,No,,793,No,0.0,05m 13s
Imposter,Win,,,,2,505,No,,
Crewmate,Win,7,Yes,No,,1316,No,0.0,18m 05s
Crewmate,Loss,7,Yes,No,,936,No,1.0,06m 01s
Imposter,Loss,,,,2,962,No,,
Crewmate,Win,7,Yes,No,,834,No,0.0,05m 42s
Crewmate,Win,7,Yes,Yes,,759,No,0.0,05m 41s
Crewmate,Win,7,Yes,Yes,,1117,No,0.0,16m 37s
Crewmate,Win,7,Yes,No,,1017,No,1.0,10m 04s
Crewmate,Win,7,Yes,No,,1600,No,0.0,09m 19s
Crewmate,Loss,7,Yes,Yes,,1556,No,0.0,09m 45s
Crewmate,Loss,6,No,No,,771,No,0.0,
Crewmate,Loss,7,Yes,Yes,,506,No,0.0,04m 30s
Crewmate,Loss,7,Yes,Yes,,803,No,0.0,09m 30s
Crewmate,Win,7,Yes,No,,1164,No,0.0,13m 08s
Crewmate,Win,1,No,No,,127,No,0.0,
Crewmate,Loss,6,No,No,,1196,No,1.0,
Crewmate,Loss,8,Yes,Yes,,660,No,0.0,08m 54s
Crewmate,Win,8,Yes,No,,790,No,0.0,09m 32s
Crewmate,Loss,8,Yes,No,,992,No,2.0,10m 48s
Crewmate,Win,1,No,No,,313,No,1.0,
Crewmate,Loss,4,No,Yes,,273,No,0.0,04m 01s
Crewmate,Win,0,No,Yes,,226,No,1.0,
Crewmate,Loss,3,No,Yes,,260,No,0.0,
Imposter,Loss,,,,2,151,Yes,,
Crewmate,Win,2,No,No,,160,No,0.0,
Imposter,Win,,,,3,227,No,,
Crewmate,Win,0,No,Yes,,161,No,1.0,
Crewmate,Win,4,No,Yes,,292,No,0.0,02m 46s
Crewmate,Win,8,Yes,No,,1263,No,1.0,08m 37s
Imposter,Win,,,,3,552,No,,
Crewmate,Win,2,No,No,,488,No,0.0,
Crewmate,Win,8,Yes,Yes,,757,No,0.0,08m 48s
Crewmate,Loss,8,Yes,No,,639,Yes,1.0,07m 39s
Crewmate,Loss,5,No,No,,669,No,0.0,
Imposter,Loss,,,,2,1212,No,,
Crewmate,Loss,8,Yes,Yes,,973,No,0.0,05m 26s
Imposter,Loss,,,,2,1049,No,,
Crewmate,Win,8,Yes,No,,811,No,0.0,07m 25s
Crewmate,Loss,8,Yes,Yes,,1082,No,0.0,14m 28s
Imposter,Win,,,,2,629,No,,
Crewmate,Win,4,No,Yes,,568,No,0.0,
Crewmate,Win,4,No,Yes,,353,No,0.0,
Crewmate,Loss,8,Yes,No,,1088,No,0.0,08m 09s
Crewmate,Loss,8,Yes,No,,491,No,0.0,08m 06s
Crewmate,Win,8,Yes,No,,1152,No,0.0,11m 25s
Crewmate,Win,7,Yes,No,,1279,No,0.0,05m 27s
Crewmate,Win,7,Yes,No,,872,No,0.0,09m 23s
Crewmate,Loss,3,No,No,,366,Yes,0.0,
Crewmate,Win,8,Yes,No,,581,No,0.0,08m 48s
Crewmate,Win,8,Yes,Yes,,781,No,0.0,08m 51s
Crewmate,Win,3,No,No,,238,No,0.0,
Crewmate,Loss,7,Yes,No,,906,No,1.0,11m 20s
Imposter,Win,,,,3,697,No,,
Imposter,Win,,,,3,588,No,,
Imposter,Win,,,,2,511,No,,
Imposter,Loss,,,,2,963,No,,
Crewmate,Loss,3,No,Yes,,626,No,0.0,
Crewmate,Win,5,No,Yes,,443,No,0.0,
Crewmate,Loss,4,No,Yes,,461,No,0.0,
Crewmate,Win,5,No,No,,1173,No,1.0,
Imposter,Loss,,,,2,326,No,,
Crewmate,Win,1,No,No,,196,No,0.0,
Crewmate,Loss,1,No,No,,178,Yes,0.0,
Imposter,Win,,,,1,113,No,,
Crewmate,Win,3,No,No,,240,No,0.0,
Imposter,Win,,,,2,149,No,,
Imposter,Win,,,,5,343,No,,
Crewmate,Loss,6,No,Yes,,494,No,0.0,
Crewmate,Loss,5,No,Yes,,439,No,0.0,
Imposter,Win,,,,3,924,No,,
Crewmate,Win,5,No,Yes,,692,No,0.0,
Crewmate,Win,4,No,No,,805,No,0.0,
Crewmate,Win,2,No,No,,169,No,0.0,
Imposter,Win,,,,4,1184,No,,
Crewmate,Win,6,Yes,No,,450,No,0.0,05m 18s
Crewmate,Loss,4,No,Yes,,488,No,1.0,
Crewmate,Loss,7,Yes,Yes,,582,No,0.0,04m 44s
Imposter,Loss,,,,2,599,No,,
Crewmate,Win,7,Yes,Yes,,857,No,0.0,06m 45s
Crewmate,Win,0,No,No,,193,No,0.0,
Crewmate,Loss,2,No,No,,187,No,1.0,
Crewmate,Win,5,Yes,No,,366,No,0.0,03m 30s
Imposter,Loss,,,,3,1188,No,,
Crewmate,Win,7,Yes,No,,1123,No,1.0,12m 48s
Crewmate,Win,2,No,No,,747,No,0.0,
Crewmate,Win,5,No,Yes,,631,No,0.0,
Crewmate,Win,7,Yes,Yes,,962,No,0.0,13m 21s
Crewmate,Win,7,Yes,Yes,,1006,No,0.0,11m 17s
Crewmate,Loss,7,Yes,Yes,,923,No,0.0,08m 41s
Crewmate,Loss,7,Yes,Yes,,836,No,1.0,09m 57s
Crewmate,Loss,7,Yes,Yes,,682,No,0.0,08m 29s
Crewmate,Win,8,Yes,No,,884,No,1.0,05m 01s
Crewmate,Win,5,No,No,,321,No,0.0,
Crewmate,Loss,7,Yes,No,,919,No,0.0,15m 19s
Crewmate,Win,7,Yes,Yes,,831,No,0.0,13m 01s
Crewmate,Win,6,No,No,,323,No,1.0,
Crewmate,Win,4,No,Yes,,335,No,0.0,
Crewmate,Loss,8,Yes,No,,466,No,0.0,02m 18s
Crewmate,Loss,8,Yes,Yes,,595,No,0.0,09m 55s
Crewmate,Loss,8,Yes,Yes,,866,No,0.0,05m 45s
Imposter,Win,,,,4,562,No,,
Imposter,Win,,,,1,125,No,,
Crewmate,Loss,6,No,Yes,,340,No,1.0,
Crewmate,Win,7,Yes,Yes,,632,No,0.0,05m 00s
Crewmate,Win,7,Yes,Yes,,1012,No,1.0,14m 40s
