날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 11월 05일,"285,000","298,000","299,500","282,500",750.64K,-4.20%
2021년 11월 04일,"297,500","303,000","305,000","296,000",0.03K,-1.00%
2021년 11월 03일,"300,500","301,000","304,000","298,500",256.79K,0.84%
2021년 11월 02일,"298,000","298,000","305,500","297,500",342.04K,0.51%
2021년 11월 01일,"296,500","298,000","300,000","296,000",0.06K,0.17%
2021년 10월 31일,"296,000","296,000","296,000","296,000",-,0.00%
2021년 10월 29일,"296,000","302,000","303,500","296,000",404.07K,-1.66%
2021년 10월 28일,"301,000","305,000","308,000","301,000",0.03K,-2.27%
2021년 10월 27일,"308,000","314,000","314,000","307,000",0.04K,-2.22%
2021년 10월 26일,"315,000","316,000","318,500","310,000",0.10K,0.64%
2021년 10월 25일,"313,000","303,500","313,000","301,000",0.85K,3.13%
2021년 10월 24일,"303,500","303,500","303,500","303,500",-,0.00%
2021년 10월 22일,"303,500","307,500","308,000","301,000",411.63K,-2.41%
2021년 10월 21일,"311,000","310,000","315,000","310,000",0.17K,0.48%
2021년 10월 20일,"309,500","320,500","321,500","309,500",0.01K,-3.28%
2021년 10월 19일,"320,000","319,500","321,000","316,000",0.00K,0.16%
2021년 10월 18일,"319,500","327,000","327,500","318,500",0.52K,-2.59%
2021년 10월 17일,"328,000","328,000","328,000","328,000",-,0.00%
2021년 10월 15일,"328,000","330,000","331,500","327,500",279.91K,0.15%
2021년 10월 14일,"327,500","331,000","332,500","324,000",0.00K,0.77%
2021년 10월 13일,"325,000","320,000","330,500","315,000",0.05K,0.93%
2021년 10월 12일,"322,000","320,500","324,000","313,000",0.10K,0.63%
2021년 10월 11일,"320,000","320,000","320,000","320,000",-,0.00%
2021년 10월 08일,"320,000","323,000","330,000","319,000",374.08K,0.16%
2021년 10월 07일,"319,500","317,000","323,000","317,000",245.26K,0.79%
2021년 10월 06일,"317,000","324,000","325,500","316,000",0.21K,-1.55%
2021년 10월 05일,"322,000","319,000","324,000","315,000",0.01K,-0.62%
2021년 10월 04일,"324,000","324,000","324,000","324,000",-,0.00%
2021년 10월 01일,"324,000","329,000","330,500","322,500",301.27K,-1.82%
2021년 09월 30일,"330,000","327,000","333,000","325,000",0.03K,0.00%
2021년 09월 29일,"330,000","332,500","334,000","325,500",0.06K,-1.64%
2021년 09월 28일,"335,500","344,500","344,500","330,000",0.00K,-1.32%
2021년 09월 27일,"340,000","341,000","347,000","339,000",237.18K,-1.45%
2021년 09월 26일,"345,000","345,000","345,000","345,000",-,0.00%
2021년 09월 24일,"345,000","350,000","354,500","342,000",472.42K,-0.43%
2021년 09월 23일,"346,500","355,000","356,000","344,500",0.09K,-4.41%
2021년 09월 22일,"362,500","362,500","362,500","362,500",-,0.00%
2021년 09월 17일,"362,500","359,000","365,500","356,000",460.93K,-0.55%
2021년 09월 16일,"364,500","365,000","373,500","361,000",257.85K,0.83%
2021년 09월 15일,"361,500","361,500","366,500","357,000",449.95K,-1.36%
2021년 09월 14일,"366,500","377,500","379,000","364,000",0.20K,-2.27%
2021년 09월 13일,"375,000","361,500","375,000","361,000",0.72K,4.17%
2021년 09월 12일,"360,000","360,000","360,000","360,000",-,0.00%
2021년 09월 10일,"360,000","360,000","365,000","359,000",308.55K,0.14%
2021년 09월 09일,"359,500","357,500","362,500","352,500",0.03K,-0.55%
2021년 09월 08일,"361,500","359,000","364,000","357,500",0.03K,0.28%
2021년 09월 07일,"360,500","350,500","363,000","349,000",0.09K,3.30%
2021년 09월 06일,"349,000","348,000","352,000","343,500",0.07K,0.29%
2021년 09월 05일,"348,000","348,000","348,000","348,000",-,0.00%
2021년 09월 03일,"348,000","344,000","348,500","343,000",414.52K,1.61%
2021년 09월 02일,"342,500","337,500","346,500","337,000",0.04K,1.48%
2021년 09월 01일,"337,500","333,000","342,500","332,500",0.01K,0.15%
2021년 08월 31일,"337,000","332,000","337,000","328,000",0.20K,1.51%
2021년 08월 30일,"332,000","318,500","333,000","317,500",0.36K,5.40%
2021년 08월 29일,"315,000","315,000","315,000","315,000",-,0.00%
2021년 08월 27일,"315,000","317,500","320,000","313,500",375.36K,-2.02%
2021년 08월 26일,"321,500","323,000","325,000","317,500",0.01K,-1.38%
2021년 08월 25일,"326,000","324,000","334,000","322,000",0.00K,1.88%
2021년 08월 24일,"320,000","312,500","321,500","312,500",0.05K,3.39%
2021년 08월 23일,"309,500","312,500","313,000","307,000",308.11K,0.49%
2021년 08월 22일,"308,000","308,000","308,000","308,000",-,0.00%
2021년 08월 20일,"308,000","314,000","320,000","306,000",476.98K,-1.75%
2021년 08월 19일,"313,500","325,500","328,000","313,500",0.26K,-4.71%
2021년 08월 18일,"329,000","330,500","332,500","323,000",338.33K,-0.15%
2021년 08월 17일,"329,500","336,000","338,000","328,500",0.04K,-3.37%
2021년 08월 16일,"341,000","341,000","341,000","341,000",-,0.00%
2021년 08월 13일,"341,000","335,500","342,500","335,500",339.05K,0.89%
2021년 08월 12일,"338,000","348,000","349,000","338,000",0.08K,-2.17%
2021년 08월 11일,"345,500","345,000","347,000","342,000",438.50K,2.37%
2021년 08월 10일,"337,500","340,000","342,000","336,500",0.06K,0.00%
2021년 08월 09일,"337,500","339,500","340,500","335,000",0.00K,-1.03%
2021년 08월 08일,"341,000","341,000","341,000","341,000",-,0.00%
2021년 08월 06일,"341,000","342,500","346,500","340,000",369.47K,-0.87%
2021년 08월 05일,"344,000","343,000","345,500","341,000",0.05K,-0.72%
2021년 08월 04일,"346,500","344,000","348,000","341,500",0.01K,1.61%
2021년 08월 03일,"341,000","353,500","353,500","340,000",0.02K,-5.28%
2021년 08월 02일,"360,000","369,000","370,000","356,000",0.04K,-1.77%
2021년 08월 01일,"366,500","366,500","366,500","366,500",-,0.00%
2021년 07월 30일,"366,500","362,000","368,000","360,500",653.66K,2.09%
2021년 07월 29일,"359,000","368,500","370,000","356,000",0.18K,-2.31%
2021년 07월 28일,"367,500","363,500","367,500","359,000",0.23K,0.82%
2021년 07월 27일,"364,500","358,000","369,500","358,000",0.27K,2.97%
2021년 07월 26일,"354,000","354,500","360,000","351,500",0.02K,0.14%
2021년 07월 25일,"353,500","353,500","353,500","353,500",-,0.00%
2021년 07월 23일,"353,500","349,500","358,500","347,500",827.18K,2.17%
2021년 07월 22일,"346,000","334,000","346,000","334,000",1.20K,4.69%
2021년 07월 21일,"330,500","334,500","335,000","329,500",0.00K,0.15%
2021년 07월 20일,"330,000","329,500","332,500","328,500",0.01K,-1.35%
2021년 07월 19일,"334,500","336,500","337,000","333,000",0.02K,-1.91%
2021년 07월 18일,"341,000","341,000","341,000","341,000",-,0.00%
2021년 07월 16일,"341,000","343,000","343,000","336,500",362.07K,-1.45%
2021년 07월 15일,"346,000","341,500","346,500","341,500",0.71K,1.47%
2021년 07월 14일,"341,000","341,500","344,500","340,000",0.24K,-1.16%
2021년 07월 13일,"345,000","346,000","348,000","341,500",0.14K,0.15%
2021년 07월 12일,"344,500","343,000","352,500","342,000",0.01K,1.92%
2021년 07월 11일,"338,000","338,000","338,000","338,000",-,0.00%
2021년 07월 09일,"338,000","335,000","338,000","327,000",666.14K,-0.44%
2021년 07월 08일,"339,500","341,000","350,500","339,500",0.11K,0.00%
2021년 07월 07일,"339,500","338,500","340,000","335,500",0.02K,-0.88%
2021년 07월 06일,"342,500","345,500","346,000","342,500",0.30K,-0.72%
2021년 07월 05일,"345,000","347,000","347,500","343,000",0.00K,0.29%
2021년 07월 04일,"344,000","344,000","344,000","344,000",-,0.00%
2021년 07월 02일,"344,000","346,500","351,000","344,000",299.83K,-0.29%
2021년 07월 01일,"345,000","347,000","348,000","344,000",0.01K,-0.86%
2021년 06월 30일,"348,000","349,500","352,000","344,500",0.01K,0.29%
2021년 06월 29일,"347,000","351,500","352,000","346,500",0.09K,-1.98%
2021년 06월 28일,"354,000","353,500","356,000","347,500",0.60K,0.57%
2021년 06월 27일,"352,000","352,000","352,000","352,000",-,0.00%
2021년 06월 25일,"352,000","359,000","359,000","350,500",575.43K,0.57%
2021년 06월 24일,"350,000","340,000","350,000","339,500",0.48K,3.40%
2021년 06월 23일,"338,500","343,500","345,000","338,000",0.11K,-0.73%
2021년 06월 22일,"341,000","339,000","346,500","337,500",0.00K,1.64%
2021년 06월 21일,"335,500","337,000","338,500","334,000",356.53K,-1.32%
2021년 06월 20일,"340,000","340,000","340,000","340,000",-,0.00%
2021년 06월 18일,"340,000","336,500","342,000","336,000",604.84K,-0.29%
2021년 06월 17일,"341,000","342,500","344,000","340,000",1.38K,-1.16%
2021년 06월 16일,"345,000","344,500","347,500","342,000",0.24K,0.88%
2021년 06월 15일,"342,000","341,000","348,000","340,000",0.39K,-0.73%
2021년 06월 14일,"344,500","350,500","351,500","343,500",0.33K,-1.43%
2021년 06월 13일,"349,500","349,500","349,500","349,500",-,0.00%
2021년 06월 11일,"349,500","338,000","349,500","337,500",702.74K,4.64%
2021년 06월 10일,"334,000","333,000","339,500","332,000",0.01K,0.15%
2021년 06월 09일,"333,500","340,500","341,000","333,000",0.11K,-2.20%
2021년 06월 08일,"341,000","339,000","342,500","333,000",0.02K,0.44%
2021년 06월 07일,"339,500","348,500","349,000","337,500",0.43K,-2.16%
2021년 06월 04일,"347,000","346,500","350,500","345,000",471.67K,0.14%
2021년 06월 03일,"346,500","349,000","350,500","345,000",0.33K,-1.84%
2021년 06월 02일,"353,000","357,000","360,500","350,500",0.16K,0.86%
2021년 06월 01일,"350,000","356,000","362,500","347,500",0.89K,-1.41%
2021년 05월 31일,"355,000","359,000","359,500","347,500",446.84K,-0.56%
2021년 05월 30일,"357,000","357,000","357,000","357,000",-,0.00%
2021년 05월 28일,"357,000","364,000","366,000","355,000",594.22K,-0.83%
2021년 05월 27일,"360,000","352,000","360,000","349,000",0.12K,3.15%
2021년 05월 26일,"349,000","356,500","357,000","343,500",0.02K,-2.51%
2021년 05월 25일,"358,000","358,000","361,000","353,500",389.27K,0.70%
2021년 05월 24일,"355,500","357,000","363,500","354,000",0.01K,-1.25%
2021년 05월 23일,"360,000","360,000","360,000","360,000",-,0.00%
2021년 05월 21일,"360,000","365,000","368,000","354,000",621.10K,-1.37%
2021년 05월 20일,"365,000","373,500","373,500","363,000",0.90K,-5.32%
2021년 05월 19일,"385,500","385,500","385,500","385,500",-,0.00%
