"지역","발생횟수","날짜","year","month"
"대구",90,2016-07-01,2016,7
"인천",107,2016-07-01,2016,7
"광주",73,2016-07-01,2016,7
"대전",76,2016-07-01,2016,7
"울산",56,2016-07-01,2016,7
"세종",7,2016-07-01,2016,7
"경기",684,2016-07-01,2016,7
"강원",164,2016-07-01,2016,7
"충북",91,2016-07-01,2016,7
"충남",149,2016-07-01,2016,7
"전북",157,2016-07-01,2016,7
"전남",128,2016-07-01,2016,7
"경북",145,2016-07-01,2016,7
"경남",377,2016-07-01,2016,7
"제주",148,2016-07-01,2016,7
"서울",208,2016-08-01,2016,8
"부산",188,2016-08-01,2016,8
"대구",107,2016-08-01,2016,8
"인천",109,2016-08-01,2016,8
"광주",68,2016-08-01,2016,8
"대전",70,2016-08-01,2016,8
"울산",92,2016-08-01,2016,8
"세종",18,2016-08-01,2016,8
"경기",673,2016-08-01,2016,8
"강원",243,2016-08-01,2016,8
"충북",150,2016-08-01,2016,8
"충남",183,2016-08-01,2016,8
"전북",176,2016-08-01,2016,8
"전남",177,2016-08-01,2016,8
"경북",201,2016-08-01,2016,8
"경남",418,2016-08-01,2016,8
"제주",198,2016-08-01,2016,8
"서울",163,2016-09-01,2016,9
"부산",204,2016-09-01,2016,9
"대구",105,2016-09-01,2016,9
"인천",115,2016-09-01,2016,9
"광주",62,2016-09-01,2016,9
"대전",79,2016-09-01,2016,9
"울산",74,2016-09-01,2016,9
"세종",10,2016-09-01,2016,9
"경기",675,2016-09-01,2016,9
"강원",154,2016-09-01,2016,9
"충북",121,2016-09-01,2016,9
"충남",174,2016-09-01,2016,9
"전북",151,2016-09-01,2016,9
"전남",159,2016-09-01,2016,9
"경북",212,2016-09-01,2016,9
"경남",428,2016-09-01,2016,9
"제주",171,2016-09-01,2016,9
"서울",181,2016-10-01,2016,10
"부산",160,2016-10-01,2016,10
"대구",115,2016-10-01,2016,10
"인천",108,2016-10-01,2016,10
"광주",65,2016-10-01,2016,10
"대전",74,2016-10-01,2016,10
"울산",86,2016-10-01,2016,10
"세종",9,2016-10-01,2016,10
"경기",595,2016-10-01,2016,10
"강원",200,2016-10-01,2016,10
"충북",116,2016-10-01,2016,10
"충남",220,2016-10-01,2016,10
"전북",183,2016-10-01,2016,10
"전남",124,2016-10-01,2016,10
"경북",217,2016-10-01,2016,10
"경남",378,2016-10-01,2016,10
"제주",162,2016-10-01,2016,10
"서울",179,2016-11-01,2016,11
"부산",159,2016-11-01,2016,11
"대구",79,2016-11-01,2016,11
"인천",111,2016-11-01,2016,11
"광주",48,2016-11-01,2016,11
"대전",79,2016-11-01,2016,11
"울산",81,2016-11-01,2016,11
"세종",6,2016-11-01,2016,11
"경기",580,2016-11-01,2016,11
"강원",185,2016-11-01,2016,11
"충북",102,2016-11-01,2016,11
"충남",148,2016-11-01,2016,11
"전북",108,2016-11-01,2016,11
"전남",132,2016-11-01,2016,11
"경북",157,2016-11-01,2016,11
"경남",342,2016-11-01,2016,11
"제주",187,2016-11-01,2016,11
"서울",137,2016-12-01,2016,12
"부산",151,2016-12-01,2016,12
"대구",84,2016-12-01,2016,12
"인천",79,2016-12-01,2016,12
"광주",58,2016-12-01,2016,12
"대전",58,2016-12-01,2016,12
"울산",68,2016-12-01,2016,12
"세종",15,2016-12-01,2016,12
"경기",567,2016-12-01,2016,12
"강원",151,2016-12-01,2016,12
"충북",104,2016-12-01,2016,12
"충남",177,2016-12-01,2016,12
"전북",136,2016-12-01,2016,12
"전남",90,2016-12-01,2016,12
"경북",209,2016-12-01,2016,12
"경남",337,2016-12-01,2016,12
"제주",169,2016-12-01,2016,12
"서울",171,2017-01-01,2017,1
"부산",108,2017-01-01,2017,1
"대구",86,2017-01-01,2017,1
"인천",125,2017-01-01,2017,1
"광주",37,2017-01-01,2017,1
"대전",68,2017-01-01,2017,1
"울산",73,2017-01-01,2017,1
"세종",8,2017-01-01,2017,1
"경기",572,2017-01-01,2017,1
"강원",127,2017-01-01,2017,1
"충북",123,2017-01-01,2017,1
"충남",220,2017-01-01,2017,1
"전북",121,2017-01-01,2017,1
"전남",117,2017-01-01,2017,1
"경북",161,2017-01-01,2017,1
"경남",312,2017-01-01,2017,1
"제주",220,2017-01-01,2017,1
"서울",122,2017-02-01,2017,2
"부산",146,2017-02-01,2017,2
