"월","건수","연도","나이"
"6월",432,"2019",5
"7월",615,"2019",5
"8월",568,"2019",5
"9월",508,"2019",5
"10월",490,"2019",5
"11월",413,"2019",5
"12월",367,"2019",5
"1월",372,"2020",5
"2월",330,"2020",5
"3월",439,"2020",5
"4월",410,"2020",5
"5월",444,"2020",5
"6월",420,"2020",5
"7월",487,"2020",5
"8월",493,"2020",5
"9월",472,"2020",5
"10월",355,"2020",5
"11월",354,"2020",5
"12월",262,"2020",5
"1월",525,"2016",6
"2월",536,"2016",6
"3월",674,"2016",6
"4월",770,"2016",6
"5월",826,"2016",6
"6월",974,"2016",6
"7월",919,"2016",6
"8월",986,"2016",6
"9월",914,"2016",6
"10월",818,"2016",6
"11월",599,"2016",6
"12월",489,"2016",6
"1월",552,"2017",6
"2월",503,"2017",6
"3월",633,"2017",6
"4월",743,"2017",6
"5월",807,"2017",6
"6월",742,"2017",6
"7월",969,"2017",6
"8월",943,"2017",6
"9월",857,"2017",6
"10월",711,"2017",6
"11월",562,"2017",6
"12월",483,"2017",6
"1월",539,"2018",6
"2월",509,"2018",6
"3월",677,"2018",6
"4월",695,"2018",6
"5월",730,"2018",6
"6월",793,"2018",6
"7월",871,"2018",6
"8월",848,"2018",6
"9월",739,"2018",6
"10월",641,"2018",6
"11월",580,"2018",6
"12월",363,"2018",6
"1월",484,"2019",6
"2월",481,"2019",6
"3월",623,"2019",6
"4월",645,"2019",6
"5월",774,"2019",6
"6월",669,"2019",6
"7월",928,"2019",6
"8월",859,"2019",6
"9월",794,"2019",6
"10월",668,"2019",6
"11월",546,"2019",6
"12월",484,"2019",6
"1월",462,"2020",6
"2월",420,"2020",6
"3월",592,"2020",6
"4월",518,"2020",6
"5월",569,"2020",6
"6월",636,"2020",6
"7월",676,"2020",6
"8월",679,"2020",6
"9월",550,"2020",6
"10월",601,"2020",6
"11월",458,"2020",6
"12월",352,"2020",6
"1월",57,"2016",11
"2월",73,"2016",11
"3월",106,"2016",11
"4월",100,"2016",11
"5월",117,"2016",11
"6월",118,"2016",11
"7월",142,"2016",11
"8월",135,"2016",11
"9월",99,"2016",11
"10월",108,"2016",11
"11월",75,"2016",11
"12월",53,"2016",11
"1월",56,"2017",11
"2월",61,"2017",11
"3월",59,"2017",11
"4월",104,"2017",11
"5월",101,"2017",11
"6월",115,"2017",11
"7월",142,"2017",11
"8월",121,"2017",11
"9월",94,"2017",11
"10월",79,"2017",11
"11월",52,"2017",11
"12월",76,"2017",11
"1월",61,"2018",11
"2월",70,"2018",11
"3월",82,"2018",11
"4월",99,"2018",11
"5월",99,"2018",11
"6월",126,"2018",11
"7월",84,"2018",11
"8월",116,"2018",11
"9월",127,"2018",11
"10월",111,"2018",11
"11월",73,"2018",11
"12월",64,"2018",11
"1월",43,"2019",11
"2월",54,"2019",11
"3월",63,"2019",11
"4월",71,"2019",11
"5월",124,"2019",11
"6월",105,"2019",11
"7월",145,"2019",11
"8월",102,"2019",11
"9월",97,"2019",11
"10월",110,"2019",11
"11월",66,"2019",11
"12월",56,"2019",11
"1월",45,"2020",11
"2월",51,"2020",11
