"지역","발생횟수","날짜","year","month"
"전북",97,2016-11-01,2016,11
"전남",71,2016-11-01,2016,11
"경북",72,2016-11-01,2016,11
"경남",161,2016-11-01,2016,11
"제주",48,2016-11-01,2016,11
"서울",214,2016-12-01,2016,12
"부산",116,2016-12-01,2016,12
"대구",68,2016-12-01,2016,12
"인천",124,2016-12-01,2016,12
"광주",78,2016-12-01,2016,12
"대전",118,2016-12-01,2016,12
"울산",63,2016-12-01,2016,12
"세종",7,2016-12-01,2016,12
"경기",553,2016-12-01,2016,12
"강원",88,2016-12-01,2016,12
"충북",97,2016-12-01,2016,12
"충남",82,2016-12-01,2016,12
"전북",80,2016-12-01,2016,12
"전남",64,2016-12-01,2016,12
"경북",65,2016-12-01,2016,12
"경남",135,2016-12-01,2016,12
"제주",50,2016-12-01,2016,12
"서울",201,2017-01-01,2017,1
"부산",111,2017-01-01,2017,1
"대구",59,2017-01-01,2017,1
"인천",133,2017-01-01,2017,1
"광주",72,2017-01-01,2017,1
"대전",113,2017-01-01,2017,1
"울산",40,2017-01-01,2017,1
"세종",9,2017-01-01,2017,1
"경기",481,2017-01-01,2017,1
"강원",103,2017-01-01,2017,1
"충북",90,2017-01-01,2017,1
"충남",86,2017-01-01,2017,1
"전북",94,2017-01-01,2017,1
"전남",60,2017-01-01,2017,1
"경북",86,2017-01-01,2017,1
"경남",122,2017-01-01,2017,1
"제주",47,2017-01-01,2017,1
"서울",205,2017-02-01,2017,2
"부산",105,2017-02-01,2017,2
"대구",56,2017-02-01,2017,2
"인천",107,2017-02-01,2017,2
"광주",71,2017-02-01,2017,2
"대전",99,2017-02-01,2017,2
"울산",57,2017-02-01,2017,2
"세종",15,2017-02-01,2017,2
"경기",418,2017-02-01,2017,2
"강원",99,2017-02-01,2017,2
"충북",62,2017-02-01,2017,2
"충남",108,2017-02-01,2017,2
"전북",99,2017-02-01,2017,2
"전남",65,2017-02-01,2017,2
"경북",81,2017-02-01,2017,2
"경남",112,2017-02-01,2017,2
"제주",50,2017-02-01,2017,2
"서울",261,2017-03-01,2017,3
"부산",120,2017-03-01,2017,3
"대구",89,2017-03-01,2017,3
"인천",165,2017-03-01,2017,3
"광주",74,2017-03-01,2017,3
"대전",133,2017-03-01,2017,3
"울산",57,2017-03-01,2017,3
"세종",5,2017-03-01,2017,3
"경기",596,2017-03-01,2017,3
"강원",98,2017-03-01,2017,3
"충북",114,2017-03-01,2017,3
"충남",136,2017-03-01,2017,3
"전북",106,2017-03-01,2017,3
"전남",89,2017-03-01,2017,3
"경북",81,2017-03-01,2017,3
"경남",136,2017-03-01,2017,3
"제주",46,2017-03-01,2017,3
"서울",312,2017-04-01,2017,4
"부산",136,2017-04-01,2017,4
"대구",109,2017-04-01,2017,4
"인천",216,2017-04-01,2017,4
"광주",85,2017-04-01,2017,4
"대전",152,2017-04-01,2017,4
"울산",72,2017-04-01,2017,4
"세종",8,2017-04-01,2017,4
"경기",646,2017-04-01,2017,4
"강원",136,2017-04-01,2017,4
"충북",115,2017-04-01,2017,4
"충남",117,2017-04-01,2017,4
"전북",128,2017-04-01,2017,4
"전남",88,2017-04-01,2017,4
"경북",78,2017-04-01,2017,4
"경남",153,2017-04-01,2017,4
"제주",40,2017-04-01,2017,4
"서울",354,2017-05-01,2017,5
"부산",168,2017-05-01,2017,5
"대구",113,2017-05-01,2017,5
"인천",236,2017-05-01,2017,5
"광주",90,2017-05-01,2017,5
"대전",202,2017-05-01,2017,5
"울산",71,2017-05-01,2017,5
"세종",6,2017-05-01,2017,5
"경기",746,2017-05-01,2017,5
"강원",127,2017-05-01,2017,5
